Epoch,dice_coeff,iou,fp,fn,precision,recall,fscore,train_loss,val_loss
0,0.5153277535801348,0.35013963476471277,32986.95694633152,37266.18440047554,0.5378201137418333,0.5040409720462301,0.5153165848358817,-0.22735768742859364,-0.5122909286747808
1,0.5930664241313934,0.42662602889796963,34438.62896993886,14874.724375849184,0.5177245781473492,0.7075157204399938,0.5930522809857908,-0.5561396588987493,-0.6119151918784432
2,0.6442235857248306,0.47959792095681897,28221.42476222826,18437.064346976902,0.6048837725235068,0.6968654057253962,0.6442100094712299,-0.6245952013959276,-0.6534809385952742
3,0.651552280654078,0.488168898160043,30642.672384510868,11761.882451596468,0.5707322799641154,0.7708215143369592,0.6515376457701558,-0.666677694846975,-0.6714708364528158
4,0.6876015105973119,0.5279200524091721,25030.8427734375,16098.612368376358,0.6499259245136509,0.7372660027897876,0.6875877075869105,-0.6870069626639498,-0.6963957425044931
5,0.6995972310719283,0.5411542770655259,21825.220066236412,19915.29496433424,0.6945981616559236,0.7100312839383665,0.6995839871790098,-0.7092135447136899,-0.7012092121269392
6,0.7067532986402512,0.5502392727395763,24745.42471976902,12966.641877547554,0.6536397376786107,0.7779330572356349,0.7067390479471373,-0.7258691981117776,-0.7192379644383555
7,0.718857379063316,0.5641935078994088,21196.4873046875,17221.313179347828,0.7034187951813573,0.7409513605677563,0.7188438060490981,-0.734718485601603,-0.722670739111693
8,0.7240845314834429,0.570995037322459,22929.522333559784,13116.316215183424,0.6793467020211013,0.7825279754141102,0.7240703663100367,-0.7530743438512721,-0.7344667367313219
9,0.7168905087139296,0.562842418966086,25893.466159986412,9074.970151154892,0.6375378700702087,0.829304972420568,0.7168755816376727,-0.7523055136837857,-0.7360596877077351
10,0.7313110854314722,0.5799812966066858,23046.57181980299,11617.213676120924,0.6776636715816415,0.8020686196244281,0.7312966649946959,-0.7648246681436579,-0.7438158872334854
11,0.7388204258421193,0.5890285087668378,21521.684909986412,12949.33203125,0.699115131860194,0.7899411800115005,0.7388062373451565,-0.7800310311165262,-0.7479669412840968
12,0.7357601536356885,0.5858367124329442,23263.916864809784,10490.861434273098,0.6748737951983577,0.8169773143270741,0.7357455245826555,-0.7877076452082776,-0.7500272250693777
13,0.7362905844398167,0.5862220674753189,23534.278872282608,9921.752844769022,0.6706144634796225,0.8241978352484496,0.7362758478392726,-0.7962488357691054,-0.7517083248366481
14,0.7464239869428717,0.5986168125401372,21227.510190217392,12101.053456182066,0.7031085815118707,0.8018820855928503,0.7464096701663473,-0.8027522354683978,-0.756365681472032
